account_id,customer_class,state,bill_month,billing_days,meter_prev_read,meter_curr_read,kwh_usage,rate_per_kwh,fixed_charge,billed_amount,read_type,is_anomaly,anomaly_type
ACC00000,RES,TX,2024-07,31,23547,24650,1103.1,0.1498,12.0,190.45,ACTUAL,0,
ACC00000,RES,TX,2024-08,31,24650,25900,1250.3,0.1498,12.0,214.27,ACTUAL,0,
ACC00000,RES,TX,2024-09,30,25900,26861,961.8,0.1498,12.0,167.59,ACTUAL,0,
ACC00000,RES,TX,2024-10,31,26861,27574,713.8,0.1498,12.0,127.48,ACTUAL,0,
ACC00000,RES,TX,2024-11,30,27574,28317,743.6,0.1498,12.0,132.29,ACTUAL,0,
ACC00000,RES,TX,2024-12,31,28317,29189,872.7,0.1498,12.0,153.19,ACTUAL,0,
ACC00000,RES,TX,2025-01,31,29189,30031,842.0,0.1498,12.0,148.22,ACTUAL,0,
ACC00000,RES,TX,2025-02,28,30031,30940,909.8,0.1498,12.0,159.18,ACTUAL,0,
ACC00000,RES,TX,2025-03,31,30940,31679,739.5,0.1498,12.0,131.63,ACTUAL,0,
ACC00000,RES,TX,2025-04,30,31679,32533,854.9,0.1498,12.0,150.3,ACTUAL,0,
ACC00000,RES,TX,2025-05,31,32533,33346,813.5,0.1498,12.0,143.6,ACTUAL,0,
ACC00000,RES,TX,2025-06,30,33346,34352,1006.1,0.1498,12.0,174.76,ACTUAL,0,
ACC00000,RES,TX,2025-07,31,34352,35431,1079.7,0.1498,12.0,186.67,ACTUAL,0,
ACC00000,RES,TX,2025-08,31,35431,36741,1310.8,0.1498,12.0,224.05,ACTUAL,0,
ACC00000,RES,TX,2025-09,30,36741,37711,970.3,0.1498,12.0,168.97,ACTUAL,0,
ACC00000,RES,TX,2025-10,31,37711,38490,779.7,0.1498,12.0,138.14,ACTUAL,0,
ACC00000,RES,TX,2025-11,30,38490,39329,839.1,0.1498,12.0,147.74,ACTUAL,0,
ACC00000,RES,TX,2025-12,31,39329,40191,862.2,0.1498,12.0,151.49,ACTUAL,0,
ACC00000,RES,TX,2026-01,31,40191,41076,885.7,0.1498,12.0,155.28,ACTUAL,0,
ACC00000,RES,TX,2026-02,28,41076,41836,760.6,0.1498,12.0,135.05,ACTUAL,0,
ACC00000,RES,TX,2026-03,31,41836,42562,726.1,0.1498,12.0,129.47,ACTUAL,0,
ACC00000,RES,TX,2026-04,30,42562,43273,711.5,0.1498,12.0,127.1,ACTUAL,0,
ACC00000,RES,TX,2026-05,31,43273,44125,852.3,0.1498,12.0,149.88,ACTUAL,0,
ACC00000,RES,TX,2026-06,30,44125,45254,1129.1,0.1498,12.0,194.66,ACTUAL,0,
ACC00001,RES,OH,2024-07,31,18725,20096,1371.8,0.1464,12.0,229.24,ACTUAL,0,
ACC00001,RES,OH,2024-08,31,20096,21640,1544.7,0.1464,12.0,256.63,ACTUAL,0,
ACC00001,RES,OH,2024-09,30,21640,22937,1297.9,0.1464,12.0,217.54,ACTUAL,0,
ACC00001,RES,OH,2024-10,31,22937,24019,1082.2,0.1464,12.0,183.39,ACTUAL,0,
ACC00001,RES,OH,2024-11,30,24019,25192,1173.6,0.1464,12.0,197.85,ACTUAL,0,
ACC00001,RES,OH,2024-12,31,25192,26520,1328.3,0.1464,12.0,222.35,ACTUAL,0,
ACC00001,RES,OH,2025-01,31,26520,26192,-328.0,0.1464,12.0,233.94,ACTUAL,1,NEGATIVE_READ_ROLLBACK
ACC00001,RES,OH,2025-02,28,27921,29196,1275.5,0.1464,12.0,214.0,ACTUAL,0,
ACC00001,RES,OH,2025-03,31,29196,30277,1081.7,0.1464,12.0,183.3,ACTUAL,0,
ACC00001,RES,OH,2025-04,30,30277,31291,1014.1,0.1464,12.0,172.59,ACTUAL,0,
ACC00001,RES,OH,2025-05,31,31291,32413,1122.3,0.1464,12.0,189.73,ACTUAL,0,
ACC00001,RES,OH,2025-06,30,32413,33774,1362.0,0.1464,12.0,227.69,ACTUAL,0,
ACC00001,RES,OH,2025-07,31,33774,35152,1378.8,0.1464,12.0,230.35,ACTUAL,0,
ACC00001,RES,OH,2025-08,31,35152,36534,1382.5,0.1464,12.0,230.94,ACTUAL,0,
